122.05	0.00	28.00
122.05	0.00	29.00
119.92	0.00	30.00
119.92	0.00	30.00
117.79	0.00	29.00
117.79	0.00	29.00
117.79	0.00	28.00
117.79	0.00	25.00
117.79	0.00	23.00
117.79	0.00	22.00
117.79	0.00	19.00
117.79	0.00	17.00
117.79	0.00	15.00
117.79	0.00	14.00
117.79	0.00	12.00
117.79	0.00	11.00
117.79	0.00	10.00
115.65	0.00	9.00
115.65	0.00	9.00
113.52	0.00	11.00
113.52	0.00	15.00
113.52	0.00	18.00
113.52	0.00	22.00
111.39	0.00	25.00
111.39	0.00	27.00
111.39	0.00	28.00
111.39	0.00	28.00
109.43	0.00	29.00
109.43	0.00	29.00
109.43	0.00	28.00
109.43	0.00	27.00
107.46	0.00	25.00
107.46	0.00	23.00
107.46	0.00	21.00
107.46	0.00	18.00
107.46	0.00	17.00
107.46	0.00	15.00
107.46	0.00	14.00
107.46	0.00	13.00
107.46	0.00	11.00
107.46	0.00	11.00
107.46	0.00	10.00
107.46	0.00	9.00
105.50	0.00	11.00
105.50	0.00	13.00
105.50	0.00	16.00
105.50	0.00	21.00
105.50	0.00	23.00
105.50	0.00	26.00
103.54	0.00	27.00
103.54	0.00	28.00
101.58	0.00	29.00
101.58	0.00	29.00
99.61	0.00	28.00
99.61	0.00	27.00
99.61	0.00	26.00
99.61	0.00	23.00
99.61	0.00	21.00
99.61	0.00	18.00
99.61	0.00	17.00
99.61	0.00	16.00
97.65	0.00	15.00
97.65	0.00	14.00
97.65	0.00	13.00
97.65	0.00	12.00
97.65	0.00	12.00
97.65	0.00	11.00
95.69	0.00	13.00
95.69	0.00	16.00
93.72	0.00	20.00
93.72	0.00	23.00
93.72	0.00	26.00
93.72	0.00	27.00
93.72	0.00	27.00
93.72	0.00	28.00
93.72	0.00	28.00
91.76	0.00	28.00
91.76	0.00	28.00
91.76	0.00	27.00
91.76	0.00	25.00
91.76	0.00	22.00
91.76	0.00	20.00
91.76	0.00	19.00
89.97	0.00	17.00
89.97	0.00	15.00
89.97	0.00	14.00
89.97	0.00	13.00
89.97	0.00	11.00
89.97	0.00	10.00
89.97	0.00	9.00
89.97	0.00	8.00
88.18	0.00	11.00
88.18	0.00	14.00
88.18	0.00	17.00
88.18	0.00	21.00
86.39	0.00	24.00
86.39	0.00	26.00
86.39	0.00	28.00
86.39	0.00	28.00
84.60	0.00	29.00
84.60	0.00	29.00
84.60	0.00	28.00
84.60	0.00	27.00
84.60	0.00	24.00
84.60	0.00	21.00
84.60	0.00	20.00
84.60	0.00	18.00
84.60	0.00	17.00
84.60	0.00	16.00
84.60	0.00	15.00
84.60	0.00	14.00
84.60	0.00	13.00
84.60	0.00	13.00
84.60	0.00	13.00
82.82	0.00	13.00
82.82	0.00	14.00
82.82	0.00	15.00
81.03	0.00	16.00
81.03	0.00	17.00
81.03	0.00	17.00
81.03	0.00	19.00
81.03	0.00	20.00
81.03	0.00	20.00
81.03	0.00	20.00
79.24	0.00	20.00
79.24	0.00	20.00
79.24	0.00	19.00
79.24	0.00	18.00
79.24	0.00	17.00
79.24	2.00	16.00
79.24	2.00	15.00
79.24	6.00	15.00
79.24	0.00	15.00
79.24	0.00	14.00
79.24	0.00	15.00
79.24	0.00	15.00
79.24	5.00	15.00
79.24	5.00	15.00
79.24	20.00	15.00
79.24	5.00	15.00
79.24	10.00	15.00
79.24	20.00	15.00
81.03	30.00	15.00
82.82	5.00	16.00
84.60	0.00	17.00
84.60	0.00	17.00
84.60	0.00	18.00
84.60	0.00	18.00
84.60	0.00	19.00
84.60	0.00	20.00
84.60	0.00	20.00
84.60	0.00	18.00
84.60	0.00	17.00
84.60	0.00	17.00
84.60	0.00	16.00
84.60	0.00	17.00
84.60	0.00	16.00
84.60	0.00	16.00
84.60	0.00	15.00
84.60	0.00	15.00
84.60	0.00	15.00
84.60	0.00	15.00
84.60	0.00	14.00
84.60	0.00	15.00
84.60	0.00	17.00
84.60	0.00	19.00
84.60	0.00	20.00
84.60	0.00	21.00
84.60	0.00	22.00
84.60	0.00	22.00
84.60	0.00	23.00
84.60	0.00	23.00
84.60	0.00	23.00
86.39	0.00	23.00
86.39	0.00	22.00
88.18	0.00	20.00
89.97	0.00	19.00
89.97	0.00	17.00
91.76	0.00	16.00
91.76	0.00	13.00
93.72	0.00	12.00
93.72	0.00	10.00
95.69	0.00	9.00
95.69	0.00	8.00
95.69	0.00	7.00
95.69	0.00	6.00
95.69	0.00	6.00
95.69	0.00	9.00
95.69	0.00	11.00
95.69	0.00	15.00
95.69	0.00	19.00
95.69	0.00	21.00
95.69	0.00	23.00
95.69	0.00	25.00
95.69	0.00	26.00
97.65	0.00	27.00
97.65	0.00	27.00
97.65	0.00	26.00
99.61	0.00	25.00
99.61	0.00	23.00
99.61	0.00	20.00
99.61	0.00	18.00
99.61	0.00	16.00
99.61	0.00	15.00
99.61	0.00	14.00
99.61	0.00	13.00
99.61	0.00	13.00
99.61	0.00	12.00
99.61	0.00	12.00
99.61	0.00	12.00
97.65	0.00	12.00
97.65	0.00	13.00
95.69	0.00	14.00
95.69	0.00	16.00
95.69	0.00	18.00
93.72	0.00	20.00
93.72	0.00	23.00
93.72	0.00	23.00
91.76	0.00	23.00
91.76	0.00	22.00
91.76	0.00	22.00
89.97	0.00	21.00
89.97	0.00	20.00
89.97	0.00	19.00
89.97	0.00	19.00
88.18	0.00	17.00
88.18	0.00	15.00
88.18	0.00	15.00
88.18	0.00	14.00
88.18	1.00	14.00
88.18	0.00	14.00
88.18	3.00	13.00
88.18	1.00	13.00
88.18	10.00	13.00
86.39	0.00	12.00
86.39	5.00	12.00
86.39	0.00	13.00
84.60	0.00	13.00
84.60	5.00	13.00
84.60	20.00	13.00
84.60	25.00	13.00
84.60	20.00	13.00
84.60	25.00	13.00
84.60	15.00	13.00
86.39	25.00	13.00
86.39	20.00	13.00
88.18	35.00	13.00
91.76	60.00	13.00
93.72	55.00	13.00
97.65	25.00	13.00
99.61	10.00	13.00
101.58	30.00	13.00
105.50	15.00	13.00
109.43	5.00	13.00
113.52	35.00	13.00
119.92	25.00	13.00
